venue_id,lat,lng
1,33.84595,-84.363649
2,42.5433166,-71.7548621
3,42.5468876,-71.7765422
4,33.3668079,-97.1823299
5,32.9372765,-97.185796
6,35.0363723,-85.3168133
7,41.868781,-87.864311
8,29.69689941,-95.41269684
9,40.714037,-74.009335
10,29.818286,-95.418311
11,34.76088249,-84.93626833
12,38.5437944,-121.740045
13,31.24653493,-90.47298074
14,32.7484749,-117.1326855
15,30.0822497,-95.6306276
16,37.7637943,-122.2432115
17,41.520409,-81.463026
18,34.497423,-83.536782
19,37.29275603,-121.9887918
20,32.31325036,-96.20683551
21,41.4824558,-81.7661221
22,37.55662605,-77.46054411
23,40.741185,-74.363365
24,38.5838008,-121.4837608
25,32.7687798,-117.1675776
26,43.6392814,-79.4255972
27,38.87899,-77.30294
28,39.232815,-94.568945
29,39.74613407,-89.53436852
30,43.7147569,-79.5548799
31,42.3364266,-71.1489289
32,39.9785895,-74.8788513
33,40.7113829,-74.0062597
34,33.0451072,-117.2937218
35,36.03431639,-115.1188231
36,34.1555393,-118.3457687
37,33.102189,-96.6993169
38,40.734179,-74.000274
39,37.766555,-122.434878
40,40.859793,-74.428426
41,36.3,-119.314767
42,36.226275,-119.331326
43,38.7410039,-121.34383
44,34.089515,-118.148531
45,43.6697038,-79.3895305
46,49.0236158,-123.0685656
47,44.7357221,-93.2074241
48,41.0986819,-73.8659469
49,41.0987109,-74.0112158
50,40.74188,-73.993049
51,32.936676,-117.234641
52,42.3928151,-83.0496438
53,38.7687219,-121.2658692
54,38.583734,-121.499691
55,38.552475,-121.470315
56,32.7074514,-117.163074
57,39.711525,-105.014165
58,29.226908,-81.0154
59,42.24526189,-83.62698555
60,34.421584,-118.497835
61,33.9930342,-117.9006342
62,42.2653432,-83.658117
63,37.694353,-97.269809
64,28.8290603,-96.9656133
65,29.574185,-95.027218
66,28.8987153,-82.4423933
67,44.933231,-123.033821
68,44.13894816,-72.02679634
69,43.1338061,-89.3953826
70,42.3762973,-71.2461214
71,40.7203918,-74.2702166
72,32.780372,-96.800542
73,35.804239,-78.623765
74,42.7337101,-84.5538935
75,41.889608,-87.664263
76,34.1455089,-118.148639
77,42.4905666,-83.1171235
78,40.8936921,-74.1700762
79,40.870199,-73.891499
80,44.023731,-121.31574
81,41.90522,-87.669805
82,40.6700156,-73.9536708
83,33.6021767,-117.8999383
84,41.8524316,-87.8771278
85,40.92593251,-73.88623238
86,41.908976,-87.685098
87,36.074873,-80.33591
88,27.771479,-82.638502
89,40.00731928,-105.2773905
90,44.937641,-123.034939
91,39.83221471,-84.82120156
92,35.725158,-77.936007
93,45.5235803,-73.8526785
94,43.93919832,-93.27039223
95,42.3020046,-71.4343586
96,43.54021149,-90.88027954
97,40.718625,-82.548882
98,41.8889785,-87.6557431
99,40.8519699,-79.9111497
100,39.632629,-74.807792
101,40.756815,-73.970086
102,41.93807613,-87.81183109
103,39.77587,-86.1377399
104,35.956593,-86.802555
105,33.768477,-84.264075
106,39.1157243,-94.6240251
107,37.5898967,-122.3409978
108,40.868591,-73.896835
109,39.2460424,-94.421824
110,35.820153,-78.602875
111,42.9688021,-85.6650617
112,39.20498962,-85.92111111
113,34.7665067,-84.9279194
114,39.0718371,-84.446818
115,32.9996859,-96.9628929
116,29.354257,-98.476442
117,33.03914032,-96.73449039
118,41.751925,-87.663028
119,28.487922,-81.3736179
120,38.9316379,-77.0567733
121,35.4856775,-84.5898133
122,32.7695583,-117.1689497
123,32.74895105,-116.9320178
124,40.8053868,-73.9657363
125,36.7714799,-119.862802
126,30.279998,-97.707721
127,33.8480289,-118.390183
128,36.7302431,-119.8624231
129,36.694279,-119.566057
130,26.828833,-80.092414
131,44.263019,-88.370488
132,30.141002,-95.471159
133,37.7526,-122.416
134,37.26663972,-121.8334714
135,33.838581,-84.381636
136,34.089515,-118.148531
137,29.653668,-82.320393
138,41.886802,-87.627119
139,49.2615721,-123.1385674
140,30.06289141,-95.44703007
141,41.952119,-87.665882
142,41.0986819,-73.8659469
143,43.10483692,-79.11495209
144,35.3818709,-80.725087
