user_id,lat,lng
1,40.4862157,-74.4518188
2,-6.197086,106.833033
3,-6.200787,106.832453
4,28.5383355,-81.3792365
5,28.5383355,-81.3792365
6,39.6477653,-104.9877597
7,40.7439905,-74.0323626
8,38.5950532,-90.5462339
9,33.8658484,-118.0831212
10,38.5950532,-90.5462339
11,-6.2689913,106.8060388
12,43.6525,-79.3816667
13,37.3393857,-121.8949555
14,40.65,-73.95
15,41.7620447,-72.7420399
16,40.65,-73.95
17,33.414768,-111.9093095
18,39.8680412,-104.9719243
19,40.7143528,-74.0059731
20,33.9562149,-83.9879625
21,39.7391536,-104.9847034
22,33.4053867,-86.8113781
23,39.4862267,-75.0257313
24,39.7391536,-104.9847034
25,40.65,-73.95
26,43.1347897,-76.1299238
27,-6.213342,106.738467
28,40.65,-73.95
29,40.7143528,-74.0059731
30,42.575567,-83.272411
31,30.0803521,-81.5751476
32,51.5001524,-0.1262362
33,33.8041667,-118.1580556
34,37.798577,-122.4246535
35,32.3546679,-89.3985283
36,-6.213342,106.738467
37,40.65,-73.95
38,50.808465,4.943227
39,33.414768,-111.9093095
40,33.4483771,-112.0740373
41,38.8799697,-77.1067698
42,25.7889689,-80.2264393
43,37.8043722,-122.2708026
44,42.3584308,-71.0597732
45,-6.2015759,106.8753662
46,-6.20161,106.817137
47,33.7489954,-84.3879824
48,40.9312099,-73.8987469
49,40.610232,-73.953957
50,45.4636889,9.1881408
51,27.949436,-82.4651441
52,38.5395564,-75.0551806
53,40.65,-73.95
54,-6.211544,106.845172
55,40.7143528,-74.0059731
56,27.3364347,-82.5306527
57,43.0389025,-87.9064736
58,37.3393857,-121.8949555
59,36.114646,-115.172816
60,40.7143528,-74.0059731
61,40.740389,-73.983385
62,39.7391536,-104.9847034
63,40.7143528,-74.0059731
64,38.646991,-90.224967
65,37.5629917,-122.3255254
66,-6.20161,106.817137
67,-6.20161,106.817137
68,-6.201718,106.79397
69,-6.20239,106.830541
70,49.248523,-123.1088
71,41.4994954,-81.6954088
72,44.9799654,-93.2638361
73,-6.2136912,106.8561884
74,49.248523,-123.1088
75,34.2073196,-84.1401926
76,35.9382103,-77.7905339
77,-6.202669,106.78276
78,29.9988312,-95.2621553
79,-6.202821,106.842845
80,-6.202821,106.842845
81,-6.202821,106.842845
82,32.981212,-117.078863
83,-30.0277041,-51.2287346
84,37.8215929,-121.9999606
85,43.7844397,-88.7878678
86,40.7143528,-74.0059731
87,41.026389,-73.628889
88,27.7730556,-82.64
89,-6.203429,106.931782
90,-6.20545,106.758794
91,-6.2077655,106.8351884
92,-6.2077655,106.8351884
93,-6.208803,106.966889
94,40.7143528,-74.0059731
95,-6.217208,106.828227
96,-6.217208,106.828227
97,40.7143528,-74.0059731
98,22.396428,114.109497
99,38.8799697,-77.1067698
100,44.4758825,-73.212072
101,-6.225843,106.856809
102,42.3833697,-83.2965971
103,40.7143528,-74.0059731
104,30.267153,-97.7430608
105,-6.2101194,106.8089885
106,-6.2101194,106.8089885
107,-6.21112,106.811692
108,33.5539143,-117.2139232
109,-6.213138,106.867878
110,-6.21693,106.7881345
111,-6.217208,106.828227
112,42.6583661,-83.1499322
113,1.352083,103.819836
114,1.352083,103.819836
115,33.0366667,-85.0319444
116,41.8781136,-87.6297982
117,32.8370727,-97.0819541
118,38.8951118,-77.0363658
119,1.352083,103.819836
120,39.6837226,-75.7496572
121,40.65,-73.95
122,-6.21693,106.7881345
123,-6.21693,106.7881345
124,36.1734694,-79.9889277
125,34.3916641,-118.542586
126,43.5867164,-116.1956556
127,40.7143528,-74.0059731
128,40.7143528,-74.0059731
129,44.9541667,-93.1138889
130,40.7143528,-74.0059731
131,41.0050977,-73.7845768
132,47.5301011,-122.0326191
133,-6.217208,106.828227
134,-6.217208,106.828227
135,-6.217208,106.828227
136,-6.217208,106.828227
137,-6.217208,106.828227
138,-6.217208,106.828227
139,-6.2177209,106.8114687
140,40.65,-73.95
141,47.4506495,-122.8273657
142,38.5815719,-121.4943996
143,42.3875968,-71.0994968
144,33.4273614,-81.8909472
145,33.8041667,-118.1580556
146,-6.225843,106.856809
147,-6.225843,106.856809
148,-6.225843,106.856809
149,40.65,-73.95
150,47.6062095,-122.3320708
151,47.3223221,-122.3126222
152,28.5383355,-81.3792365
153,37.9735346,-122.5310874
154,-6.211544,106.845172
155,28.5383355,-81.3792365
156,-6.211544,106.845172
157,34.2643067,-118.4396756
158,40.7143528,-74.0059731
159,-6.225843,106.856809
160,-6.225843,106.856809
161,35.2270869,-80.8431267
162,41.3795863,2.1683571
163,32.3199396,-106.7636538
164,41.3795863,2.1683571
165,41.3795863,2.1683571
166,49.248523,-123.1088
167,39.7683765,-86.1580423
168,-6.225843,106.856809
169,-6.225843,106.856809
170,-6.225843,106.856809
171,-6.225843,106.856809
172,49.319647,-123.068237
173,42.3726399,-71.1096528
174,32.735687,-97.1080656
175,41.8781136,-87.6297982
176,40.65,-73.95
177,38.8799697,-77.1067698
178,42.5159145,-73.6101159
179,33.8041667,-118.1580556
180,1.352083,103.819836
181,43.0717552,-70.7625532
182,42.6425794,-73.742898
183,38.8951118,-77.0363658
184,40.65,-73.95
185,40.65,-73.95
186,-6.2261952,106.8252123
187,-6.227478,106.810588
188,41.8781136,-87.6297982
189,25.7889689,-80.2264393
190,-6.2342713,106.914989
191,41.8781136,-87.6297982
192,40.65,-73.95
193,41.6392024,-87.4547635
194,25.790654,-80.1300455
195,33.5360955,-112.3819027
196,-6.227478,106.810588
197,-6.227478,106.810588
198,33.4483771,-112.0740373
199,34.0211224,-118.3964665
200,-6.2345108,106.8443875
201,-6.2345108,106.8443875
202,33.955802,-83.3823656
203,38.5815719,-121.4943996
204,36.3320196,-94.1185366
205,41.1670412,-73.2048348
206,-6.228157,106.935565
207,-6.2290385,106.8163628
208,-6.229896,106.816574
209,-6.229896,106.816574
210,33.8352932,-117.9145036
